,Lot_CAFOID,CH4_mean,CH4_sum,CH4_median
1,1.0,0.5526666226594344,101.69065856933594,0.6563215255737305
2,2.0,0.634860947018578,426.6265563964844,0.6343699097633362
3,3.0,0.5652115918364119,698.0363159179688,0.6572669744491577
4,5.0,0.6159169588157599,1369.79931640625,0.6072707772254944
5,6.0,0.5491522216796875,466.7793884277344,0.5352498292922974
6,7.0,0.5448459705687257,490.9062194824219,0.541968584060669
7,8.0,0.5544234194235113,751.7981567382812,0.5548063516616821
8,9.0,0.6427238387733142,3135.849609375,0.6392419338226318
9,10.0,0.6319860677592357,808.3101806640625,0.6240624785423279
10,11.0,0.6189041940789474,1646.28515625,0.6029247045516968
11,12.0,0.6536944529154872,548.4496459960938,0.6610888242721558
12,13.0,0.4555755142093629,58.76924133300781,0.556527316570282
13,15.0,0.6637994849548222,1717.249267578125,0.6539317965507507
14,16.0,0.6587067282067602,3977.929931640625,0.6548436880111694
15,18.0,0.6281209757039835,571.590087890625,0.6220170259475708
16,21.0,0.5094265227622174,478.8609313964844,0.5065105557441711
17,25.0,0.6823639642624628,100.30750274658203,0.673792839050293
18,26.0,0.6862697186677352,63.13681411743164,0.6752154231071472
19,27.0,0.6783172819349501,48.838844299316406,0.6764366626739502
20,28.0,0.6397243298982319,48.619049072265625,0.6266314387321472
21,29.0,0.6519193649291992,28.684452056884766,0.6602782011032104
22,31.0,0.611230539721112,157.69747924804688,0.6105107069015503
23,32.0,0.5351711597317964,655.0494995117188,0.5348765850067139
24,35.0,0.6725073309816482,485.55029296875,0.6737363934516907
25,36.0,0.6527394712449821,1463.44189453125,0.6469691395759583
26,37.0,0.5351696537990196,1091.74609375,0.5351545810699463
27,38.0,0.6026588889960562,2196.691650390625,0.6089180707931519
28,40.0,0.6725219797823628,1152.0301513671875,0.6693260073661804
29,41.0,0.6412052048577203,184.66709899902344,0.6352569460868835
30,42.0,0.7039097861100513,1268.4454345703125,0.6938086748123169
31,43.0,0.5216412742382271,188.3125,0.5161325931549072
32,44.0,0.5122828382126828,96.30917358398438,0.5143959522247314
33,47.0,0.5802061871165245,348.70391845703125,0.5598339438438416
34,48.0,0.4657629380846237,830.9210815429688,0.46233946084976196
35,49.0,0.5008044467408241,1265.5328369140625,0.47599342465400696
36,50.0,0.5343532416656727,140.00054931640625,0.5294052362442017
37,51.0,0.6853826310899522,49.34754943847656,0.6892274618148804
38,52.0,0.5678625229680069,6567.330078125,0.55943363904953
39,53.0,0.5454544715341382,655.0908203125,0.5635533332824707
40,54.0,0.601664893306903,201.5577392578125,0.603919267654419
41,57.0,0.7324526006525213,161.1395721435547,0.7289527654647827
42,58.0,0.7000570297241211,44.80364990234375,0.7034550905227661
43,59.0,0.6897064447402954,44.141212463378906,0.678596556186676
44,60.0,0.6771958109010686,1045.59033203125,0.6769683361053467
45,61.0,0.657514632607056,912.6303100585938,0.6540518403053284
46,62.0,0.6720830743963068,532.289794921875,0.6719610691070557
47,64.0,0.6312408447265625,421.66888427734375,0.6311457753181458
48,65.0,0.6853019029666216,213.81419372558594,0.6708639860153198
49,66.0,0.6233370798938679,198.22119140625,0.6281185150146484
50,67.0,0.5950736854466195,1252.0350341796875,0.6336236596107483
51,68.0,0.5406664685933391,822.3536987304688,0.567717969417572
52,69.0,0.63585010206843,633.3067016601562,0.6302840113639832
53,70.0,0.586593022422185,147.82144165039062,0.5567370057106018
54,71.0,0.6459179034811913,893.9503784179688,0.6424847841262817
55,73.0,0.5385971833366864,752.9588623046875,0.5671719312667847
56,74.0,0.6653782738579644,239.5361785888672,0.667721152305603
57,77.0,0.7215625928795856,531.070068359375,0.723382830619812
58,78.0,0.5890512332862833,841.1651611328125,0.570996880531311
59,79.0,0.5954330754159066,469.2012634277344,0.5988758206367493
60,80.0,0.6246012278965541,139.91067504882812,0.6349932551383972
61,81.0,0.6890287310163551,2359.234375,0.6984127163887024
62,84.0,0.5914776049162213,224.76148986816406,0.5955125689506531
63,85.0,0.5731976933839942,545.6842041015625,0.5678856372833252
64,87.0,0.6067716586904158,1794.83056640625,0.604799747467041
65,89.0,0.638349590879498,1516.7186279296875,0.6358836889266968
66,91.0,0.5874735514322916,408.881591796875,0.5569900870323181
67,92.0,0.48418142218338817,229.98617553710938,0.465383917093277
68,93.0,0.6773784391341671,83.99492645263672,0.6698742508888245
69,97.0,0.38227514969675164,108.94841766357422,0.4378640353679657
70,99.0,0.7372803688049316,377.487548828125,0.7428697943687439
71,103.0,0.657145627339681,39.42873764038086,0.6602161526679993
