,Lot_CAFOID,NH3_mean,NH3_sum,NH3_median
1,1.0,0.6000946488634643,1485.8343505859375,0.5912301540374756
2,2.0,0.40303244736979477,3377.81494140625,0.3828566372394562
3,3.0,0.5587488419798835,1055.4765625,0.6120114922523499
4,4.0,0.5946838462554248,1301.762939453125,0.5911194682121277
5,7.0,0.5618854193120455,656.8440551757812,0.5581828355789185
6,8.0,0.5502051329001402,429.1600036621094,0.5422103404998779
7,9.0,0.5679992617149976,1773.8616943359375,0.5540364980697632
8,10.0,0.5423057828753958,3597.1142578125,0.5569087862968445
9,11.0,0.507995341018333,586.2266235351562,0.5050438642501831
10,12.0,0.5799911708047946,3006.09423828125,0.5704987049102783
11,13.0,0.5935710373261194,9558.2744140625,0.623102068901062
12,14.0,0.42924692663523745,6436.12841796875,0.41090160608291626
13,16.0,0.5255565749470953,283.2749938964844,0.5150064826011658
14,18.0,0.5954872520470752,2463.53076171875,0.5982019901275635
15,19.0,0.5275915693143834,1243.0057373046875,0.5160673260688782
16,20.0,0.5422909781869314,834.5858154296875,0.5351709723472595
17,22.0,0.47857218020272835,216.79319763183594,0.4712701737880707
18,23.0,0.5785329687686367,151.5756378173828,0.5749840140342712
19,24.0,0.44201477595738004,30.9410343170166,0.445414662361145
20,27.0,0.4646538182308799,17.656845092773438,0.4692651927471161
21,28.0,0.4767664383429566,1014.0822143554688,0.47327399253845215
22,29.0,0.614931613584108,388.63677978515625,0.6132336258888245
23,30.0,0.4791947362428889,192.15708923339844,0.4782869219779968
24,31.0,0.46152747491872087,148.61184692382812,0.4606885313987732
25,32.0,0.6005933082109266,2586.15478515625,0.6001107692718506
26,33.0,0.6026760984707912,1725.461669921875,0.6027582883834839
27,34.0,0.6100168175845521,1334.716796875,0.6068413853645325
28,38.0,0.5061991943808806,4949.61572265625,0.4967752695083618
29,39.0,0.4882822537959197,1365.7254638671875,0.48286503553390503
30,40.0,0.6026847770622185,869.6741333007812,0.603025496006012
31,41.0,0.6026095459792787,181.9880828857422,0.5948082208633423
32,43.0,0.5850154021456573,1315.1146240234375,0.5821860432624817
33,45.0,0.5747655721811148,89.6634292602539,0.5738807320594788
34,46.0,0.5492264628410339,17.575246810913086,0.5586900115013123
35,48.0,0.6405790760623187,2649.43505859375,0.6378571391105652
36,49.0,0.6440846653231743,546.827880859375,0.6373669505119324
37,50.0,0.6547087612531043,692.0271606445312,0.6507336497306824
38,51.0,0.5997156669088703,1637.823486328125,0.5989682078361511
39,52.0,0.6626185936263845,2093.874755859375,0.6599496006965637
40,53.0,0.43587523343270285,248.44888305664062,0.4339444041252136
41,54.0,0.5324512096401558,585.1638793945312,0.603519082069397
42,56.0,0.6036274256740379,1011.6795654296875,0.5735769271850586
43,57.0,0.5640170496366145,1520.5899658203125,0.5656743049621582
44,58.0,0.5689915248325893,63.72705078125,0.5679870843887329
45,59.0,0.5771170125059153,7317.2666015625,0.5682443976402283
46,60.0,0.42510266648125405,164.93983459472656,0.4166540801525116
47,61.0,0.653441745131763,1751.223876953125,0.6529826521873474
48,63.0,0.617498755475246,3638.920166015625,0.6151005625724792
49,64.0,0.5773293375968933,4.6186347007751465,0.5773293375968933
50,65.0,0.45861360761854386,33.020179748535156,0.5868258476257324
51,66.0,0.6666466243683346,167.9949493408203,0.6637831926345825
52,67.0,0.5922482013702393,56.85582733154297,0.6301794052124023
53,70.0,0.6849876372411908,332.90399169921875,0.683059811592102
54,71.0,0.6323907141591988,4128.24658203125,0.6307641267776489
55,75.0,0.6544905952785326,391.3853759765625,0.6572434902191162
56,76.0,0.5366120868259006,154.54428100585938,0.5255700349807739
57,78.0,0.5546181181557158,259.561279296875,0.552467942237854
58,79.0,0.6322434480525245,306.0058288574219,0.6307509541511536
59,80.0,0.6424519769076643,298.09771728515625,0.6419087648391724
60,82.0,0.6223166832557091,323.60467529296875,0.6657257080078125
61,83.0,0.6664085388183594,65.30803680419922,0.6943238973617554
62,86.0,0.6231295987495087,396.3104248046875,0.6027942895889282
63,87.0,0.648018012612553,191.16531372070312,0.6485414505004883
64,88.0,0.6238010073668204,743.57080078125,0.6143041849136353
65,90.0,0.43777537666628713,780.9912719726562,0.43146002292633057
66,93.0,0.6528316497802734,182.79286193847656,0.6508234739303589
67,94.0,0.48251828280362213,976.6170043945312,0.4667810797691345
68,95.0,0.6584869112287249,73.75053405761719,0.6612850427627563
69,96.0,0.643306050981794,36.02513885498047,0.6319726705551147
70,97.0,0.17798670132954916,2.13584041595459,0.1868204027414322
71,98.0,0.54554203406704,3116.681640625,0.6018897891044617
72,99.0,0.6077551543360759,4118.14892578125,0.6075502634048462
73,100.0,0.615888333788105,251.28244018554688,0.611342191696167
74,101.0,0.6426673162551153,53.98405456542969,0.6309009194374084
75,104.0,0.6234034906867092,406.4590759277344,0.6188514828681946
